pitch_uid,pitch_no,date,pa_of_inning,pitch_of_pa,pitcher_name,pitcher_id,pitcher_throws,pitcher_team_id,pitcher_team_name,batter_name,batter_id,batter_side,batter_team_id,batter_team_name,inning,top_bottom,outs,balls,strikes,pitch_type,pitch_type_abbr,pitch_call,k_or_bb,hit_type,play_result,outs_on_play,runs_scored,rel_speed,spin_rate,spin_axis,rel_height,rel_side,extension,induced_vert_break,horz_break,plate_loc_height,plate_loc_side,vert_appr_angle,horz_appr_angle,exit_speed,launch_angle,distance,catcher_name,catcher_id,home_team_id,home_team_name,away_team_id,away_team_name,game_id,game_type,season,pitch_group,pitch_group_abbr,count_type,is_zone,is_strike,is_swing,pitch_call_prev,pitch_type_prev,pitch_group_prev,pa_id,pa_result,run_value_diff
2024-746665-207,207,8/30/24,2,4,"Hall, DL",669084,Left,MIL,MIL,"Steer, Spencer",668715,Right,CIN,CIN,7,Bottom,1,1,2,Fastball,FB,InPlay,NA,GroundBall,Out,1,0,92.7,2131,140,5.59,-2.75,7,14.4,-6.96,2.15,0.25,-5.428944966,2.609747502,80.7,-26,4,606992,606992,CIN,CIN,MIL,MIL,746665,R,2024,Fastball,FB,Two Strikes,TRUE,TRUE,TRUE,BallCalled,Fastball,Fastball,746665_7_2_669084_668715,"In Play, Out",-0.073080263
2024-746665-208,208,8/30/24,3,1,"Hall, DL",669084,Left,MIL,MIL,"France, Ty",664034,Right,CIN,CIN,7,Bottom,2,0,0,Curveball,CB,BallCalled,NA,NA,NA,NA,0,78.9,2661,306,5.75,-2.82,6.5,-15.12,13.44,3.58,-1.4,-7.981656864,2.692020509,NA,NA,NA,606992,606992,CIN,CIN,MIL,MIL,746665,R,2024,Breaking Ball,BRK,F-Pitch,FALSE,FALSE,FALSE,NA,NA,NA,746665_7_3_669084_664034,NA,0.04620961
2024-746665-209,209,8/30/24,3,2,"Hall, DL",669084,Left,MIL,MIL,"France, Ty",664034,Right,CIN,CIN,7,Bottom,2,1,0,Curveball,CB,BallCalled,NA,NA,NA,NA,0,78,2667,310,5.9,-2.92,6.5,-12.72,8.16,2.58,-1.71,-9.067139329,2.004901759,NA,NA,NA,606992,606992,CIN,CIN,MIL,MIL,746665,R,2024,Breaking Ball,BRK,Early,FALSE,FALSE,FALSE,BallCalled,Curveball,Breaking Ball,746665_7_3_669084_664034,NA,0.075049909
2024-746665-210,210,8/30/24,3,3,"Hall, DL",669084,Left,MIL,MIL,"France, Ty",664034,Right,CIN,CIN,7,Bottom,2,2,0,Fastball,FB,InPlay,NA,LineDrive,Double,0,0,92.2,2202,134,5.6,-2.71,6.9,13.8,-4.92,1.52,0.37,-6.202122599,2.875403889,110.4,18,335,606992,606992,CIN,CIN,MIL,MIL,746665,R,2024,Fastball,FB,B-Ahead,TRUE,TRUE,TRUE,BallCalled,Curveball,Breaking Ball,746665_7_3_669084_664034,"In Play, Double",0.647134601
2024-746665-211,211,8/30/24,4,1,"Hall, DL",669084,Left,MIL,MIL,"Hinds, Rece",677956,Right,CIN,CIN,7,Bottom,2,0,0,ChangeUp,CH,BallCalled,NA,NA,NA,NA,0,82.5,2089,118,5.69,-2.69,6.8,8.04,-15.48,1.72,0.83,-7.508746582,2.400010265,NA,NA,NA,606992,606992,CIN,CIN,MIL,MIL,746665,R,2024,Offspeed,OFF,F-Pitch,FALSE,FALSE,FALSE,NA,NA,NA,746665_7_4_669084_677956,NA,0.04620961
2024-746665-212,212,8/30/24,4,2,"Hall, DL",669084,Left,MIL,MIL,"Hinds, Rece",677956,Right,CIN,CIN,7,Bottom,2,1,0,ChangeUp,CH,BallCalled,NA,NA,NA,NA,0,82,2071,125,5.7,-2.56,6.9,6.96,-17.16,0.44,0.39,-9.00776884,1.635218744,NA,NA,NA,606992,606992,CIN,CIN,MIL,MIL,746665,R,2024,Offspeed,OFF,Early,FALSE,FALSE,FALSE,BallCalled,ChangeUp,Offspeed,746665_7_4_669084_677956,NA,0.075049909
2024-746665-213,213,8/30/24,4,3,"Hall, DL",669084,Left,MIL,MIL,"Hinds, Rece",677956,Right,CIN,CIN,7,Bottom,2,2,0,Curveball,CB,BallCalled,NA,NA,NA,NA,0,77,2543,320,5.82,-2.53,6.7,-13.2,7.08,0.45,1.36,-11.36044103,4.793811666,NA,NA,NA,606992,606992,CIN,CIN,MIL,MIL,746665,R,2024,Breaking Ball,BRK,B-Ahead,FALSE,FALSE,FALSE,BallCalled,ChangeUp,Offspeed,746665_7_4_669084_677956,NA,0.120446309
2024-746665-214,214,8/30/24,4,4,"Hall, DL",669084,Left,MIL,MIL,"Hinds, Rece",677956,Right,CIN,CIN,7,Bottom,2,3,0,Fastball,FB,InPlay,NA,FlyBall,Out,1,0,91.9,2156,132,5.64,-2.77,6.9,15.48,-7.32,3.15,0.25,-4.410829637,2.599196233,90.7,46,286,606992,606992,CIN,CIN,MIL,MIL,746665,R,2024,Fastball,FB,B-Ahead,TRUE,TRUE,TRUE,BallCalled,Curveball,Breaking Ball,746665_7_4_669084_677956,"In Play, Out",-0.576441337
2024-745938-127,127,9/4/24,1,1,"Hall, DL",669084,Left,MIL,MIL,"Burleson, Alec",676475,Left,STL,STL,5,Top,0,0,0,Fastball,FB,BallCalled,NA,NA,NA,NA,0,96.1,2094,142,5.32,-2.61,7.1,16.08,-10.2,2.47,1.07,-4.338848999,3.049952324,NA,NA,NA,606992,606992,MIL,MIL,STL,STL,745938,R,2024,Fastball,FB,F-Pitch,FALSE,FALSE,FALSE,NA,NA,NA,745938_5_1_669084_676475,NA,0.04620961
2024-745938-128,128,9/4/24,1,2,"Hall, DL",669084,Left,MIL,MIL,"Burleson, Alec",676475,Left,STL,STL,5,Top,0,1,0,Fastball,FB,StrikeCalled,NA,NA,NA,NA,0,96.2,2202,143,5.44,-2.62,6.8,17.28,-10.2,3.11,0.51,-3.677560378,2.457433241,NA,NA,NA,606992,606992,MIL,MIL,STL,STL,745938,R,2024,Fastball,FB,Early,TRUE,TRUE,FALSE,BallCalled,Fastball,Fastball,745938_5_1_669084_676475,NA,-0.065353456
